Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
233,0.8092,0.7958,0.7013,0.8421
234,0.8044,0.7982,0.6739,0.8467
235,0.8097,0.7962,0.6744,0.8451
236,0.7982,0.7985,0.6699,0.8482
237,0.7984,0.7989,0.6801,0.8508
238,0.7922,0.8071,0.6612,0.8508
239,0.7821,0.8028,0.6651,0.8472
240,0.772,0.8095,0.6645,0.8451
241,0.7853,0.8071,0.6616,0.8513
242,0.7709,0.8054,0.6547,0.8497
243,0.7742,0.8098,0.6641,0.839
244,0.7628,0.8091,0.6462,0.8508
245,0.7624,0.8105,0.6559,0.8523
246,0.7542,0.8143,0.651,0.8487
247,0.7505,0.8134,0.6487,0.8523
248,0.7545,0.8165,0.6368,0.8508
249,0.7462,0.8168,0.6448,0.8549
250,0.7427,0.8189,0.6421,0.8482
251,0.7411,0.8202,0.6354,0.8569
252,0.7277,0.8205,0.6331,0.8564
253,0.7243,0.8222,0.6295,0.8533
254,0.7234,0.8202,0.6321,0.8528
255,0.7206,0.8214,0.6242,0.8554
256,0.7189,0.8197,0.6288,0.8497
257,0.7108,0.8297,0.6189,0.8662
258,0.7081,0.8268,0.6244,0.861
259,0.7081,0.8285,0.6146,0.8615
260,0.7055,0.8322,0.6132,0.8641
261,0.6968,0.8289,0.6113,0.8667
262,0.699,0.8315,0.6141,0.8615
263,0.6974,0.8315,0.6088,0.8677
264,0.6962,0.8326,0.6083,0.8631
265,0.6852,0.8355,0.6046,0.8656
266,0.6819,0.8368,0.6046,0.8605
267,0.6772,0.8358,0.5998,0.8636
268,0.6705,0.8357,0.6031,0.8667
269,0.6745,0.8386,0.6027,0.8646
270,0.6683,0.8406,0.6,0.8631
271,0.6697,0.8388,0.5951,0.8656
272,0.6644,0.8409,0.5917,0.8697
273,0.6648,0.8409,0.5907,0.8744
274,0.6571,0.8425,0.5879,0.8733
275,0.656,0.8437,0.5898,0.8672
276,0.6543,0.8449,0.5878,0.8677
277,0.6516,0.8458,0.588,0.8651
278,0.6543,0.8465,0.5883,0.8667
279,0.6445,0.846,0.5887,0.8692
280,0.6394,0.8494,0.5843,0.8677
281,0.6376,0.8482,0.5813,0.8728
282,0.6418,0.8486,0.5807,0.8723
283,0.6349,0.8506,0.5771,0.8733
284,0.6347,0.8538,0.5772,0.8728
285,0.6291,0.854,0.5798,0.8713
286,0.6295,0.856,0.5789,0.8718
287,0.6278,0.8546,0.5761,0.8754
288,0.6228,0.8546,0.5758,0.8744
289,0.6148,0.8563,0.5767,0.8713
290,0.6143,0.8566,0.5762,0.8749
291,0.6146,0.8583,0.5745,0.8713
292,0.6071,0.8606,0.5742,0.8744
293,0.6062,0.8606,0.5743,0.8744
294,0.6129,0.8598,0.5731,0.8738
295,0.599,0.8617,0.5727,0.8744
296,0.606,0.8643,0.5728,0.8749
297,0.6046,0.8615,0.5719,0.8759
298,0.5958,0.8642,0.5721,0.8744
299,0.5945,0.8649,0.572,0.8759
300,0.5981,0.8655,0.5721,0.8754
